arch,dataset,n,ap_mean,ap_std,ap_ci95,f1_mean,f1_std,f1_ci95,recall_mean,recall_std,recall_ci95,precision_mean,precision_std,precision_ci95,fa24h_mean,fa24h_std,fa24h_ci95
gcn,caucafall,5,0.9705693532062689,0.010008987051419631,0.008773263969692675,0.5873015873015874,0.1976174539363291,0.17321933573248957,0.44000000000000006,0.21908902300206642,0.19203999583420112,1.0,0.0,0.0,0.0,0.0,0.0
gcn,le2i,5,0.7471203499152062,0.035403070706681895,0.031032159703249913,0.75,0.0,0.0,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.0,581.5843243262096,0.0,0.0
tcn,caucafall,5,0.9818984087199516,0.002111430295055725,0.0018507502544428394,0.861111111111111,0.06211299937499424,0.05444444444444452,0.76,0.08944271909999163,0.07840000000000003,1.0,0.0,0.0,0.0,0.0,0.0
tcn,le2i,5,0.8389044711981676,0.019177450732262003,0.016809776721216453,0.823529411764706,0.0,0.0,0.7777777777777778,0.0,0.0,0.875,0.0,0.0,581.5843243262096,0.0,0.0
