label,in_ap,cross_ap,delta_ap,in_f1,cross_f1,delta_f1,in_recall,cross_recall,delta_recall,in_fa24h,cross_fa24h,delta_fa24h
TCN LE2i->CAUCAFall,0.8300634427559832,0.9120882897265374,0.08202484697055423,0.823529411764706,1.0,0.17647058823529405,0.7777777777777778,1.0,0.2222222222222222,581.5843243262096,0.0,-581.5843243262096
TCN CAUCAFall->LE2i,0.9680390273318927,0.5256617047730581,-0.44237732255883466,0.888888888888889,0.0,-0.888888888888889,0.8,0.0,-0.8,0.0,1163.1686486524193,1163.1686486524193
GCN LE2i->CAUCAFall,0.8250299721377338,0.7639877157181133,-0.061042256419620466,0.6666666666666667,1.0,0.33333333333333326,0.5555555555555556,1.0,0.4444444444444444,581.5843243262096,0.0,-581.5843243262096
GCN CAUCAFall->LE2i,0.9682522061201096,0.41543365380028235,-0.5528185523198272,0.33333333333333337,0.7777777777777778,0.4444444444444444,0.2,0.7777777777777778,0.5777777777777777,0.0,1163.1686486524193,1163.1686486524193
