run,arch,dataset,best_epoch,best_val_F1,best_val_P,best_val_R,best_val_AP,best_val_AUC,best_val_thr
caucafall_gcn_history.jsonl,gcn,caucafall,49,0.9608763693270735,0.959375,0.9623824451410659,0.9916107064701396,0.9922691353187042,0.35
caucafall_tcn_history.jsonl,tcn,caucafall,19,0.9984350547730829,0.996875,1.0,0.9997635041185726,0.9998938740856844,0.6
le2i_gcn_history.jsonl,gcn,le2i,31,0.7112781954887218,0.6158854166666666,0.8416370106761566,0.772370628879107,0.8121279879066545,0.5499999999999999
le2i_tcn_history.jsonl,tcn,le2i,49,0.9495798319327731,0.9358178053830227,0.9637526652452025,0.9816080141612559,0.9884319006471401,0.75
muvim_gcn_history.jsonl,gcn,muvim,27,0.5426356589147286,0.38228155339805825,0.9347181008902077,0.7145273706400612,0.9684545553084042,0.95
muvim_tcn_history.jsonl,tcn,muvim,28,0.9206798866855525,0.8807588075880759,0.9643916913946587,0.9567438073139974,0.9939436878075172,0.95
urfd_gcn_history.jsonl,gcn,urfd,9,0.8,0.88,0.7333333333333333,0.8572652234430889,0.9443030303030303,0.95
urfd_tcn_history.jsonl,tcn,urfd,18,1.0,1.0,1.0,0.9999999999999999,1.0,0.5499999999999999
