model,seed,ap,auc,op1_f1,op1_fa24h,op1_delay,op2_f1,op2_recall,op2_precision,op2_fa24h,op2_delay,op2_tp,op2_fp,op3_f1,op3_recall,op3_fa24h,op3_delay,op3_tp,op3_fp,metrics_path
tcn_c1,1337,0.9787149536465457,0.9866615853658537,0.7499999999999999,0.0,5.21739133199056,0.7499999999999999,0.6,1.0,0.0,5.21739133199056,3,0,0.7499999999999999,0.6,0.0,5.21739133199056,3,0,outputs\metrics\tcn_caucafall_stb_s1337.json
tcn_c1,17,0.9836126798522898,0.991234756097561,0.888888888888889,0.0,4.95652174949646,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,0.888888888888889,0.8,0.0,4.95652174949646,4,0,outputs\metrics\tcn_caucafall_stb_s17.json
tcn_c1,2025,0.9813028327850815,0.9893292682926829,0.888888888888889,0.0,4.95652174949646,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,0.888888888888889,0.8,0.0,4.95652174949646,4,0,outputs\metrics\tcn_caucafall_stb_s2025.json
tcn_c1,33724876,0.9818646947415329,0.9899009146341463,0.888888888888889,0.0,5.08695650100708,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,0.888888888888889,0.8,0.0,5.08695650100708,4,0,outputs\metrics\tcn_caucafall_stb_s33724876.json
tcn_c1,42,0.983996882574308,0.9916158536585367,0.888888888888889,0.0,5.08695650100708,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,0.888888888888889,0.8,0.0,5.08695650100708,4,0,outputs\metrics\tcn_caucafall_stb_s42.json
ctr_c2_rank4,1337,0.9806687250846656,0.9889481707317073,0.9090909090909091,940.9090909090911,1.3565217018127442,1.0,1.0,1.0,0.0,3.0260869026184083,5,0,1.0,1.0,0.0,3.0260869026184083,5,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s1337.json
ctr_c2_rank4,17,0.9785504301435675,0.9855182926829269,0.9090909090909091,940.9090909090911,1.252173900604248,0.888888888888889,0.8,1.0,0.0,3.6521739959716797,4,0,0.888888888888889,0.8,0.0,3.6521739959716797,4,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s17.json
ctr_c2_rank4,2025,0.9716877921759051,0.9813262195121951,0.9090909090909091,940.9090909090911,2.1913043022155763,0.888888888888889,0.8,1.0,0.0,4.30434775352478,4,0,0.888888888888889,0.8,0.0,4.30434775352478,4,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s2025.json
ctr_c2_rank4,33724876,0.9834855106856704,0.9904725609756098,0.9090909090909091,940.9090909090911,0.7304348468780517,1.0,1.0,1.0,0.0,3.965217399597168,5,0,1.0,1.0,0.0,3.965217399597168,5,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s33724876.json
ctr_c2_rank4,42,0.9749128436978879,0.9820884146341463,0.9090909090909091,940.9090909090911,1.9826086044311524,0.888888888888889,0.8,1.0,0.0,5.2173914313316345,4,0,0.888888888888889,0.8,0.0,5.2173914313316345,4,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s42.json
ctr_c2_rank8,1337,0.9782570707091178,0.9864710365853658,0.9090909090909091,940.9090909090911,1.460869550704956,1.0,1.0,1.0,0.0,3.02608699798584,5,0,1.0,1.0,0.0,3.02608699798584,5,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s1337.json
ctr_c2_rank8,17,0.9615220396460924,0.9746570121951219,0.9090909090909091,940.9090909090911,1.7739130020141602,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,2.08695650100708,5,1,0.9090909090909091,1.0,940.9090909090911,2.08695650100708,5,1,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s17.json
ctr_c2_rank8,2025,0.9802538751379581,0.9878048780487805,0.9090909090909091,940.9090909090911,1.4608695030212402,1.0,1.0,1.0,0.0,2.921739101409912,5,0,1.0,1.0,0.0,2.921739101409912,5,0,outputs\metrics\ctr_gcn_caucafall_c2_tgt_rank8_s2025.json
ctr_c2_rank8,33724876,0.9661806797913967,0.9771341463414634,0.9090909090909091,940.9090909090911,1.9826087474822998,0.5714285714285715,0.4,1.0,0.0,4.17391312122345,2,0,0.5714285714285715,0.4,0.0,4.17391312122345,2,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s33724876.json
ctr_c2_rank8,42,0.9830563752795488,0.9899009146341464,0.9090909090909091,940.9090909090911,1.6695651531219482,0.888888888888889,0.8,1.0,0.0,4.56521737575531,4,0,0.888888888888889,0.8,0.0,4.56521737575531,4,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s42.json
