"line","family","protocol","seed","ap","auc","op2_f1","op2_recall","op2_precision","op2_fa24h","op2_delay_s","op2_tp","op2_fp","op2_matched_gt","op2_gt_events","metrics","checkpoint","ops"
"W48/S12 CTR-GCN c2 + bone anchor","ctr_gcn","W48/S12","2025","0.984245221092408","0.991615853658537","1","1","1","0","4.4869565486908","5","0","5","5","outputs\metrics\ctr_gcn_caucafall_c2_bone_s2025.json","outputs\ctr_gcn\caucafall_c2_bone_s2025\best.pt","ops\configs\ops\ctr_gcn_caucafall_c2_bone_s2025.yaml"
"W48/S12 trainq50 TCN c2 paired","tcn","W48/S12 trainq50","2025","0.925744754777896","0.911775914634146","0.888888888888889","0.8","1","0","4.17391300201416","4","0","4","5","outputs\metrics\tcn_caucafall_W48S12_c2_trainq50_paired_s2025.json","outputs\caucafall_tcn_W48S12_c2_trainq50_paired_s2025\best.pt","ops\configs\ops\tcn_caucafall_W48S12_c2_trainq50_paired_s2025.yaml"
"W48/S12 trainq50 CTR-GCN c2 + bone paired","ctr_gcn","W48/S12 trainq50","2025","0.96034565500109","0.965129573170732","0.888888888888889","0.8","1","0","2.34782600402832","4","0","4","5","outputs\metrics\ctr_gcn_caucafall_W48S12_c2_bone_trainq50_paired_s2025.json","outputs\ctr_gcn\caucafall_W48S12_c2_bone_trainq50_paired_s2025\best.pt","ops\configs\ops\ctr_gcn_caucafall_W48S12_c2_bone_trainq50_paired_s2025.yaml"
