model,seed,ap,auc,op1_f1,op1_recall,op1_precision,op1_fa24h,op1_delay,op1_tp,op1_fp,op2_f1,op2_recall,op2_precision,op2_fa24h,op2_delay,op2_tp,op2_fp,op3_f1,op3_recall,op3_precision,op3_fa24h,op3_delay,op3_tp,op3_fp,metrics_path
tcn_c1,1337,0.9787149536465457,0.9866615853658537,0.7499999999999999,0.6,1.0,0.0,5.21739133199056,3,0,0.7499999999999999,0.6,1.0,0.0,5.21739133199056,3,0,0.7499999999999999,0.6,1.0,0.0,5.21739133199056,3,0,outputs\metrics\tcn_caucafall_stb_s1337.json
tcn_c1,17,0.9836126798522898,0.991234756097561,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,outputs\metrics\tcn_caucafall_stb_s17.json
tcn_c1,2025,0.9813028327850815,0.9893292682926829,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,0.888888888888889,0.8,1.0,0.0,4.95652174949646,4,0,outputs\metrics\tcn_caucafall_stb_s2025.json
tcn_c1,33724876,0.9818646947415329,0.9899009146341463,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,outputs\metrics\tcn_caucafall_stb_s33724876.json
tcn_c1,42,0.983996882574308,0.9916158536585367,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,0.888888888888889,0.8,1.0,0.0,5.08695650100708,4,0,outputs\metrics\tcn_caucafall_stb_s42.json
ctr_c2_rank4,1337,0.9806687250846656,0.9889481707317073,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.3565217018127442,5,1,1.0,1.0,1.0,0.0,3.0260869026184083,5,0,1.0,1.0,1.0,0.0,3.0260869026184083,5,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s1337.json
ctr_c2_rank4,17,0.9785504301435675,0.9855182926829269,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.252173900604248,5,1,0.888888888888889,0.8,1.0,0.0,3.6521739959716797,4,0,0.888888888888889,0.8,1.0,0.0,3.6521739959716797,4,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s17.json
ctr_c2_rank4,2025,0.9716877921759051,0.9813262195121951,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,2.1913043022155763,5,1,0.888888888888889,0.8,1.0,0.0,4.30434775352478,4,0,0.888888888888889,0.8,1.0,0.0,4.30434775352478,4,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s2025.json
ctr_c2_rank4,33724876,0.9834855106856704,0.9904725609756098,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,0.7304348468780517,5,1,1.0,1.0,1.0,0.0,3.965217399597168,5,0,1.0,1.0,1.0,0.0,3.965217399597168,5,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s33724876.json
ctr_c2_rank4,42,0.9749128436978879,0.9820884146341463,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.9826086044311524,5,1,0.888888888888889,0.8,1.0,0.0,5.2173914313316345,4,0,0.888888888888889,0.8,1.0,0.0,5.2173914313316345,4,0,outputs\metrics\ctr_gcn_caucafall_c2_stb_s42.json
