model,seed,video_id,src,true_label,pred_label,status,match,event_count,max_p_fall,mean_p_fall,max_lying,mean_motion_high,first_event_start_s,n_windows
ctr_gcn,17,kitchen__kitchen_front_2,/Users/ruzhan/fall_test/kitchen/kitchen_front_2.mp4,1,1,TP,1,1,0.9995847344398499,0.2526838779449463,0.47142964601516724,0.7290531992912292,19.16666603088379,29
ctr_gcn,17,kitchen__kitchen_side_1,/Users/ruzhan/fall_test/kitchen/kitchen_side_1.mp4,1,1,TP,1,1,0.999996542930603,0.7131432294845581,0.5031375885009766,0.16837233304977417,6.366666793823242,36
ctr_gcn,17,kitchen__kitchen_side_2,/Users/ruzhan/fall_test/kitchen/kitchen_side_2.mp4,1,0,FN,0,0,0.0338967889547348,0.0017838325584307313,0.2887519896030426,0.0,,29
ctr_gcn,17,kitchen_adl__kitchen_lie_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_1.mp4,0,1,FP,0,1,0.9557004570960999,0.21917855739593506,0.7811341881752014,0.05070677399635315,20.766666412353516,46
ctr_gcn,17,kitchen_adl__kitchen_lie_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_2.mp4,0,1,FP,0,1,0.9995359182357788,0.555720865726471,0.5099090933799744,0.0806325152516365,10.366666793823242,28
ctr_gcn,17,kitchen_adl__kitchen_sit_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_1.mp4,0,0,TN,1,0,0.32501089572906494,0.01930883713066578,0.6994116902351379,0.0,,34
ctr_gcn,17,kitchen_adl__kitchen_sit_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_2.mp4,0,0,TN,1,0,0.704460859298706,0.03090706281363964,0.4787076711654663,0.0,,31
ctr_gcn,17,kitchen_adl__kitchen_sit_bend_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_bend_1.mp4,0,0,TN,1,0,0.9762107133865356,0.06838346272706985,0.821293830871582,0.0539051815867424,,55
ctr_gcn,17,kitchen_adl__kitchen_walk_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_walk_1.mp4,0,0,TN,1,0,0.039192985743284225,0.006453180219978094,0.4734242558479309,0.0,,39
ctr_gcn,2025,corridor__corridor_back_1,/Users/ruzhan/fall_test/corridor/corridor_back_1.mp4,1,0,FN,0,0,0.029886405915021896,0.001971927937120199,0.4417036771774292,0.0,,26
ctr_gcn,2025,corridor__corridor_back_2,/Users/ruzhan/fall_test/corridor/corridor_back_2.mp4,1,1,TP,1,1,0.999271810054779,0.39213430881500244,0.5977294445037842,0.7240131497383118,17.566667556762695,30
ctr_gcn,2025,corridor__corridor_front_1,/Users/ruzhan/fall_test/corridor/corridor_front_1.mp4,1,1,TP,1,1,0.8915358781814575,0.08745305985212326,0.11569336801767349,0.18271224200725555,3.1666667461395264,26
ctr_gcn,2025,corridor__corridor_front_2,/Users/ruzhan/fall_test/corridor/corridor_front_2.mp4,1,1,TP,1,1,0.9999370574951172,0.4026086926460266,0.46425294876098633,0.5176105499267578,12.766666412353516,25
ctr_gcn,2025,corridor__corridor_side_1,/Users/ruzhan/fall_test/corridor/corridor_side_1.mp4,1,1,TP,1,1,0.8275261521339417,0.12782783806324005,0.09335821866989136,0.2271091639995575,11.966666221618652,30
ctr_gcn,2025,corridor__corridor_side_2,/Users/ruzhan/fall_test/corridor/corridor_side_2.mp4,1,1,TP,1,1,0.9999401569366455,0.3767472505569458,0.0484088696539402,0.32415300607681274,14.366666793823242,26
ctr_gcn,2025,corridor_adl__corridor_bend_1,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_1.mp4,0,0,TN,1,0,0.0014936611987650394,0.0002785045944619924,0.09839737415313721,0.0,,17
ctr_gcn,2025,corridor_adl__corridor_bend_2,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_2.mp4,0,0,TN,1,0,0.0007989826845005155,0.00016394822159782052,0.1789158582687378,0.0,,15
ctr_gcn,2025,corridor_adl__corridor_squat_1,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_1.mp4,0,0,TN,1,0,0.0010554584441706538,0.00029969195020385087,0.01268019713461399,0.0,,24
ctr_gcn,2025,corridor_adl__corridor_squat_2,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_2.mp4,0,1,FP,0,1,0.9999558925628662,0.20859551429748535,0.32345113158226013,0.2630167007446289,15.166666984558105,24
ctr_gcn,2025,corridor_adl__corridor_walk_1,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_1.mp4,0,0,TN,1,0,0.004014948848634958,0.0006240852526389062,0.022322559729218483,0.0,,20
ctr_gcn,2025,corridor_adl__corridor_walk_2,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_2.mp4,0,0,TN,1,0,0.5138336420059204,0.034081898629665375,0.11368703842163086,0.42557910084724426,,18
ctr_gcn,2025,kitchen__kitchen_back_1,/Users/ruzhan/fall_test/kitchen/kitchen_back_1.mp4,1,1,TP,1,1,0.9604110717773438,0.048183899372816086,0.37815216183662415,0.5074729919433594,2.366666555404663,21
ctr_gcn,2025,kitchen__kitchen_back_2,/Users/ruzhan/fall_test/kitchen/kitchen_back_2.mp4,1,1,TP,1,1,0.9996329545974731,0.2882618308067322,0.4346223771572113,0.7685129642486572,19.16666603088379,34
ctr_gcn,2025,kitchen__kitchen_front_1,/Users/ruzhan/fall_test/kitchen/kitchen_front_1.mp4,1,0,FN,0,0,0.3326200842857361,0.03169240429997444,0.09739884734153748,0.0,,14
ctr_gcn,2025,kitchen__kitchen_front_2,/Users/ruzhan/fall_test/kitchen/kitchen_front_2.mp4,1,1,TP,1,1,0.999941349029541,0.28462377190589905,0.47142964601516724,0.7456933856010437,19.16666603088379,29
ctr_gcn,2025,kitchen__kitchen_side_1,/Users/ruzhan/fall_test/kitchen/kitchen_side_1.mp4,1,1,TP,1,1,0.999620795249939,0.6912346482276917,0.5031375885009766,0.13865146040916443,6.366666793823242,36
