family,label,seed,val_epoch,val_ap,val_auc,val_f1,val_precision,val_recall,val_fpr,val_thr,monitor,best_metric,test_ap,test_auc,selected_tau_high,selected_tau_low,test_op2_precision,test_op2_recall,test_op2_f1,test_op2_fa24h,test_op2_mean_delay_s,custom_correct,custom_n,custom_accuracy,custom_tp,custom_tn,custom_fp,custom_fn
ctr_gcn_c2_bbox_bone_focal075_g2,CTR-GCN c2_bbox+bone focal075_g2,42,63,0.9994442900805779,0.9996011964107677,0.9914529914529915,1.0,0.9830508474576272,0.0,0.23999996483325958,ap,0.9994442900805779,0.9946250441239134,0.9954268292682926,0.4099999666213989,0.3197999596595764,1.0,0.8,0.888888888888889,0.0,2.2173912525177,14,24,0.5833333333333334,10,4,8,2
ctr_gcn_c2_bbox_bone_focal075_g2,CTR-GCN c2_bbox+bone focal075_g2,1337,10,0.9942887481789418,0.9956131605184446,0.9743589743589743,0.9827586206896551,0.9661016949152542,0.011764705882352941,0.5599998831748962,ap,0.9942887481789418,0.9965366149225975,0.9973323170731707,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.043478298187256,22,24,0.9166666666666666,12,10,2,0
ctr_gcn_c2_bbox_bone_focal075_g2,CTR-GCN c2_bbox+bone focal075_g2,17,14,0.9970902920055462,0.9978065802592224,0.9743589743589743,0.9827586206896551,0.9661016949152542,0.011764705882352941,0.3699999451637268,ap,0.9970902920055462,0.9961224220865804,0.996951219512195,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,2.9217390537261965,10,24,0.4166666666666667,9,1,11,3
ctr_gcn_c2_bbox_bone_focal075_g2,CTR-GCN c2_bbox+bone focal075_g2,2025,13,0.9983588915792305,0.9988035892323031,0.9827586206896551,1.0,0.9661016949152542,0.0,0.4599999189376831,ap,0.9983588915792305,1.0,1.0,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.460869598388672,20,24,0.8333333333333334,10,10,2,2
ctr_gcn_c2_bbox_bone_focal075_g2,CTR-GCN c2_bbox+bone focal075_g2,33724876,38,0.9991570163086733,0.9994017946161515,0.9833333333333333,0.9672131147540983,1.0,0.023529411764705882,0.24999995529651642,ap,0.9991570163086733,0.9990154427575673,0.9992378048780488,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.3565217971801757,19,24,0.7916666666666666,10,9,3,2
tcn_c2_bbox_focal075_g2,TCN c2_bbox focal075_g2,42,21,0.9988793183291654,0.9992023928215353,0.9833333333333333,0.9672131147540983,1.0,0.023529411764705882,0.4299999475479126,ap,0.9988793183291654,0.9902170942808135,0.9916158536585366,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.460869598388672,14,24,0.5833333333333334,12,2,10,0
tcn_c2_bbox_focal075_g2,TCN c2_bbox focal075_g2,1337,7,0.998892605943787,0.9992023928215354,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.011764705882352941,0.4199999272823334,ap,0.998892605943787,0.9818573543965319,0.9830411585365854,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,2.9217390537261965,20,24,0.8333333333333334,11,9,3,1
tcn_c2_bbox_focal075_g2,TCN c2_bbox focal075_g2,17,18,0.9979870745695619,0.9986041874376869,0.9833333333333333,0.9672131147540983,1.0,0.023529411764705882,0.5099999308586121,ap,0.9979870745695619,0.9948331744081215,0.9956173780487805,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.2521739959716798,20,24,0.8333333333333334,11,9,3,1
tcn_c2_bbox_focal075_g2,TCN c2_bbox focal075_g2,2025,39,0.9991570163086733,0.9994017946161515,0.9833333333333333,0.9672131147540983,1.0,0.023529411764705882,0.5399999022483826,ap,0.9991570163086733,0.9965262580714371,0.997141768292683,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.5652173995971679,19,24,0.7916666666666666,11,8,4,1
tcn_c2_bbox_focal075_g2,TCN c2_bbox focal075_g2,33724876,11,0.9991570163086733,0.9994017946161515,0.9827586206896551,1.0,0.9661016949152542,0.0,0.9099998474121094,ap,0.9991570163086733,0.9966085479101854,0.997141768292683,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,0.8347826480865479,20,24,0.8333333333333334,12,8,4,0
