tag,val_recall,val_precision,val_f1,val_fa24h,test_recall,test_precision,test_f1,test_fa24h
cs60_ly15_mm35_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.7777777777777778,1.0,0.8750000000000001,0.0
cs60_ly15_mm50_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.7777777777777778,1.0,0.8750000000000001,0.0
cs60_ly15_mm35_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.7777777777777778,0.875,0.823529411764706,581.5843243262096
cs60_ly15_mm50_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.7777777777777778,0.875,0.823529411764706,581.5843243262096
cs60_ly25_mm35_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,1.0,0.8,0.0
cs60_ly25_mm50_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,1.0,0.8,0.0
cs60_ly35_mm35_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,1.0,0.8,0.0
cs60_ly35_mm50_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,1.0,0.8,0.0
cs60_ly25_mm35_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,0.8571428571428571,0.75,581.5843243262096
cs60_ly25_mm50_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,0.8571428571428571,0.75,581.5843243262096
cs60_ly35_mm35_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,0.8571428571428571,0.75,581.5843243262096
cs60_ly35_mm50_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,0.8571428571428571,0.75,581.5843243262096
cs60_ly15_mm20_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.5555555555555556,0.8333333333333334,0.6666666666666667,581.5843243262096
cs60_ly15_mm20_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.5555555555555556,0.7142857142857143,0.6250000000000001,1163.1686486524193
cs60_ly25_mm20_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.4444444444444444,0.8,0.5714285714285714,581.5843243262096
cs60_ly35_mm20_req0_sg,0.7,1.0,0.8235294117647058,0.0,0.4444444444444444,0.8,0.5714285714285714,581.5843243262096
cs60_ly25_mm20_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1163.1686486524193
cs60_ly35_mm20_req0_nosg,0.7,1.0,0.8235294117647058,0.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1163.1686486524193
cs20_ly15_mm20_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm20_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm35_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm35_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm50_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm50_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm20_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm20_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm35_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm35_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm50_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm50_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm20_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm20_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm35_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm35_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm50_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm50_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm20_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm20_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm35_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm35_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm50_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm50_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm20_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm20_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm35_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm35_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm50_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm50_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm20_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm20_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm35_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm35_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm50_req0_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm50_req0_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm20_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm20_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm35_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm35_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm50_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_mm50_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm20_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
