label,in_ap,cross_ap,delta_ap,in_f1,cross_f1,delta_f1,in_recall,cross_recall,delta_recall,in_fa24h,cross_fa24h,delta_fa24h
LE2i -> CAUCAFall (TCN),0.8385741432857825,0.9120882897265374,0.07351414644075493,0.823529411764706,1.0,0.17647058823529405,0.7777777777777778,1.0,0.2222222222222222,581.5843243262096,0.0,-581.5843243262096
CAUCAFall -> LE2i (TCN),0.9836126798522898,0.5256617047730581,-0.45795097507923177,0.888888888888889,0.0,-0.888888888888889,0.8,0.0,-0.8,0.0,1163.1686486524193,1163.1686486524193
LE2i -> CAUCAFall (GCN),0.7532712213180742,0.7639877157181133,0.010716494400039078,0.75,1.0,0.25,0.6666666666666666,1.0,0.33333333333333337,581.5843243262096,0.0,-581.5843243262096
CAUCAFall -> LE2i (GCN),0.9700689874787912,0.41543365380028235,-0.5546353336785088,0.888888888888889,0.7777777777777778,-0.11111111111111116,0.8,0.7777777777777778,-0.022222222222222254,0.0,1163.1686486524193,1163.1686486524193
